,Root.Age,Block,Row,Root.type,OLD.ID,Age.testing.or.variation.testing.,Mass..mg.,Color
16s1,1.5,B,23,1,388,Variation,2,White
16s2,26.5,B,23,1,385,Age,0,White
16s3,26.5,A,22,1,170,Age,0.1,Black
16s4,11.5,C,16,P,535,Variation,0.7,Yellow 
16s5,11.5,C,16,1,530,Variation,1.1,Yellow
16s6,2.5,D,22,1,760,Age,2.8,Yellow.Brown
16s7,40,B,23,1,436,Variation,6.5,Brown
16s8,37,C,19,1,623,Variation,0.2,Black
16s9,37,C,19,1,622,Variation,0,Yellow.Brown
16s10,4,A,22,1,183,Variation,0,Brown
16s11,5,D,22,1,752,Age,0.3,Yellow.Brown
16s12,27.5,C,16,2,491,Age,8.4,Yellow.Brown
16s13,20.5,C,19,1,617,Age,0.1,Yellow.Brown
16s14,3.5,D,20,1,802,Age,0,White
16s15,11.5,D,22,1,759,Age,0,Yellow.Brown
16s16,6,B,23,P,383,Age,2.1,Brown
16s17,40,B,23,P,446,Variation,1.1,Yellow
16s18,2.5,D,20,1,801,Age,0,White
16s19,15,D,22,1,769,Age,0.4,Brown
16s20,9,C,19,1,636,Age,0,Yellow
16s21,0.5,B,23,1,389,Age,0,White
16s22,1.5,D,22,1,753,Age,3.8,Slough
16s23,37,C,19,1,621,Variation,0.5,Yellow.Brown
16s24,2.5,C,19,1,599,Age,0,Brown
16s25,27.5,D,20,1,814,Age,1.2,Yellow.Brown
16s26,19.5,B,23,1,437,Age,1.2,Brown
16s27,4,A,22,1,188,Variation,0,White
16s28,11.5,C,16,1,505,Age,0,Brown.Slough
16s29,37,C,16,1,502,Variation,0,Yellow.Brown
16s30,11.5,C,19,1,589,Variation,1.3,Slough
16s31,20.5,C,16,1,480,Age,0.5,Yellow.Brown
16s32,4,A,22,1,184,Variation,0,Brown
16s33,0.5,A,21,1,164,Age,0.1,White
16s34,6,A,22,1,187,Age,0,White
16s35,37,C,16,1,509,Variation,1,Yellow
16s36,4,A,22,1,186,Variation,0.2,White
16s37,40,B,23,1,432,Age,0.6,Yellow.Brown
16s38,20.5,C,16,1,497,Variation,1.1,Yellow.Brown
16s39,27.5,D,22,1,770,Variation,0,Soft
16s40,40,A,21,2,165,Age,12.7,Brown
16s41,40,B,23,1,454,Variation,0.3,White
16s42,37,C,16,1,501,Variation,3,Yellow.Brown
16s43,3.5,D,22,1,765,Age,4.4,Yellow.Brown
16s44,20.5,C,16,1,531,Variation,0,Brown
16s45,20.5,D,22,1,763,Age,1,Brown
16s46,4,B,23,1,431,Age,1.4,Yellow
16s47,40,B,23,1,434,Variation,2.9,Yellow
